seed_handle,seeds,echo_authors,seed_followers,echoed_components,in_coord_cluster
AleRuaTwit,0,0,0,1,False
AlexKifana,0,0,0,1,False
Alexsafek,0,0,0,1,False
AlfredLete,0,0,0,1,False
AlistideV,0,0,0,1,False
AlkebuLan_Ke,0,0,0,1,False
AlkernS71,0,0,0,1,False
AllConnectMedia,0,0,0,1,False
AllanObare4,0,0,0,1,False
Allan_agade93,0,0,0,1,False
AloikinOpoloje,0,0,0,1,False
AloisKilungu,0,0,0,1,False
AlphaMan_Ke,0,0,0,1,False
AmThePaul,0,0,0,1,False
AmaniHemedi,0,0,0,1,False
AmbTagare,0,0,0,1,False
AmbitiousG75249,0,0,0,1,False
AmosChe70366903,0,0,0,1,False
AmosOdhiam94664,0,0,0,1,False
AmothLovin,0,0,0,1,False
AmpaireBen,0,0,0,1,False
Andie__Man,0,0,0,1,False
Andrewlimo21,0,0,0,1,False
AnnMariaRiley1,0,0,0,1,False
Anonymou5____,0,0,0,1,False
Ant_oline,0,0,0,1,False
AnthonyEme27082,0,0,0,1,False
AnthonyM82881,0,0,0,1,True
Antonios_X6,0,0,0,1,False
AnttiSalonen2,0,0,0,1,False
AnuarSaddat,0,0,0,1,True
Apropos_KE,0,0,0,1,False
ArnoldObaga,0,0,0,1,False
Arthurmbaka,0,0,0,1,False
Aruatani,0,0,0,1,False
Asamoh_,0,0,0,1,False
AssetZero0,0,0,0,1,False
Asterixhk,0,0,0,1,False
AsunaHarrison,0,0,0,1,False
Atea_01,0,0,0,1,False
AustinMulla,0,0,0,1,False
AwandoSarah,0,0,0,1,False
Awesially,0,0,0,1,False
AyoraMoses,0,0,0,1,False
AyotDodo,0,0,0,1,False
BONFACE70127657,0,0,0,1,False
BRIANWA11189997,0,0,0,1,False
BROrchestrate_,0,0,0,1,False
BSanapei,0,0,0,1,False
BadmanDecember,0,0,0,1,False
Bag_of_Mucus,0,0,0,1,False
Bahati778571,0,0,0,1,False
BalamaKaiza,0,0,0,1,False
Baraza_Kuu,0,0,0,1,False
Baskanhanm58,0,0,0,1,False
Beckton272601,0,0,0,1,False
BelievAfrica,0,0,0,1,False
Belive_Kinuthia,0,0,0,1,False
BenIsaacdp,0,0,0,1,False
Bendevelarian98,0,0,0,1,False
BenedictKariuki,0,0,0,1,False
Benjee_Turbo,0,0,0,1,True
BensaysMag,0,0,0,1,False
BensonMutu81491,0,0,0,1,False
Benson_Mwiti_25,0,0,0,1,False
Bestest789,0,0,0,1,False
Beth_Nakuru,0,0,0,1,False
Bethuelbett,0,0,0,1,False
Bettkipsang69,0,0,0,1,False
BichiyV78242,0,0,0,1,False
BigJotita,0,0,0,1,False
BigmanDarsil,0,0,0,1,False
Bill_Valar,0,0,0,1,False
Billclinton_ke,0,0,0,1,False
BinGader17,0,0,0,1,False
BitMartExchange,0,0,0,1,False
BlackMuslim254,0,0,0,1,False
